business_id,name,city,stars,review_count,is_open,categories0,categories1,categories2,categories3,categories4
KDcHC6Es_jv4tloj0NP6gA,Impasto,Levittown,2.5,165,1,Watches, Video Game Stores, Web Design, Hats, Framing
woVWLiVcJoC-KkUv4WlkGw,Scout's Treat Truck,Seminole,1.0,50,0,Party & Event Planning, Guns & Ammo, Optometrists, Pizza, Waterproofing
bA67-1nlrQpuPAowhGnvIw,Freddy's Frozen Custard & Steakburgers,St. Charles,2.5,166,0,Specialty Food, Art Galleries, IT Services & Computer Repair, Gun/Rifle Ranges, Art Supplies
iRLAkeK4PZGjKB1zmvRByw,Functional Life,New Jersey,2.0,88,1,Dry Cleaning & Laundry, Travel Services, Snorkeling, Apartments, Insulation Installation
yuangT-PWlF-YRbgN6M02A,Villas at San Dorado,Washoe Valley,3.0,293,0,Chiropractors, Hair Extensions, Outdoor Power Equipment Services, Insulation Installation, Jewelry
jKb0H78PubnEMa5JoXdnvw,Reno Bighorns,Norriton,4.0,558,0,Handyman, Soccer, Vegetarian, Personal Shopping, Damage Restoration
sB45WFgysT617bKWP_WJwA,Public Storage,Deptford Township,1.0,452,1,Dance Studios, Boot Camps, Flowers & Gifts, Day Spas, Eyebrow Services
0sr1EyOc6Td1C-962QW88w,TD Bank Havertown,Indian Rocks Beach,2.5,863,1,Parenting Classes, Basketball Courts, Guest Houses, Pet Hospice, Resorts
5N8iDpDtjTbU0F1YD645xA,Liberty City Roasters,Glenolden,3.5,488,1,Web Design, Property Management, Pediatricians, African, Office Cleaning
yM8LlTInbQH4FwWC97lz6w,SmartStyle,Elmer,1.5,1619,0,Periodontists, Education, Mongolian, General Litigation, Nail Salons
sqSqqLy0sN8n2IZrAbzidQ,CVS Pharmacy,Webster Groves,3.5,783,0,Brewing Supplies, Hardware Stores, Carpeting, Kids Hair Salons, Landscape Architects
2qhuQ-tnonyLEQLw2cbvAg,DSW Designer Shoe Warehouse,Prospect Park,4.5,569,0,Bubble Tea, Popcorn Shops, Movers, Fertility, Pediatric Dentists
oy-n3wkXeK6NPPKf3uRDTQ,Bistro St. Tropez,Croydon,2.0,1551,0,Acne Treatment, Cremation Services, Wholesale Stores, Hair Removal, Pet Services
a4BzM4nqUzJRqszzEV1fJQ,Bar-B-Cutie,Belle Chase,5.0,408,0,Lice Services, Electronics Repair, Sports Wear, Colleges & Universities, Furniture Assembly
fEt_J2Lx80kwBy6FYHaT9Q,Marty's Pizza,Willingboro Township,4.0,141,0,Contractors, Stucco Services, Check Cashing/Pay-day Loans, Plus Size Fashion, Tapas Bars
sophKEDc2rBDe-cuOaJDkA,Williamson County Animal Center,RENO AP,1.5,65,0,Condominiums, Cafes, Motorcycle Dealers, Painters, Flooring
mglME3E7esPSpIF5bias8w,City Barbeque,Ladue,5.0,312,0,Public Transportation, Spiritual Shop, Utilities, Driving Schools, Lingerie
OB2RVcodqQ_mcJ8_3F2ELg,Disc Replay,Southeast Edmonton,4.5,548,1,American (New), Indoor Playcentre, Climbing, Rafting/Kayaking, Town Car Service
Q3kQYhkYxSRyYyeBgtk--A,BJS Hardwood Floors,Godfrey,1.0,97,0,Lawyers, Cryotherapy, Musical Instruments & Teachers, Swimwear, Lighting Fixtures & Equipment
PW5eZM5RAQEhy3wgovChhQ,Courtyard by Marriott Nashville Downtown,Almonesson,4.5,345,1,Towing, Traditional Chinese Medicine, Diving, Montessori Schools, Pretzels
xloFoRiYlH4IKGz3FhTDpA,The Boiling House,Hockessin,3.0,186,0,Jet Skis, Financial Advising, DUI Law,, Pain Management
bchZXVE4feVx4Q5rhIRCGg,T J Maxx,Feasterville-Trevose,3.0,805,1,Recycling Center, Hostels, Religious Organizations, Traditional Chinese Medicine, Brewpubs
8t6mbhBNAT027aeDQ4mR3A,Global Appliance Parts,Stratford,2.5,477,1,Books, Used, Pressure Washers, Health Retreats, Dry Cleaning
t5tBd4p7BA7hNDitBUXxrw,BAP,Earth City,4.0,353,0,Tapas/Small Plates, Dance Studios, RV Rental, Used Car Dealers, Threading Services
qawLaB79bFiXEtFc5SEBkQ,Nicola's Pizza,Haddon Township,2.0,319,0,Sports Medicine, Self Storage, Mags, Mountain Biking, Dive Bars
iRLAkeK4PZGjKB1zmvRByw,Golden Chopstick Chinese Restaurant,New Prt Rchy,4.0,33,1,Organic Stores, Mortgage Lenders, Financial Services, Physical Therapy, Beach Equipment Rentals
bwL2TymVrYekkkKztKyiwA,Spring Hollow Golf Club,Antioch,1.5,395,1,Team Building Activities, Fire Protection Services, Refinishing Services, Grocery, Art Classes
2ahg0y3bmn8gRo0aGrFiEQ,Copper Vine,Avondale,2.0,469,0,Tiling, Laser Hair Removal, Virtual Reality Centers, Trusts, Street Vendors
bi3SICnYEuFC7Cihyqz8Nw,Creve Coeur Golf Course,Petersburg,1.0,266,0,Florists, Fireplace Services, Laundromat, Pet Sitting, Refinishing Services
Y370KeuqfpmmH0RmRT4F3Q,Blackrock Brewers,Gloucester City,1.5,375,0,Paint Stores, Carpet Cleaning, Dominican, Water Purification Services, Pool & Billiards
jKb0H78PubnEMa5JoXdnvw,Tabasco Country Store,Carmel,4.0,1725,0,Travel Agents, Pilates, Adult Education, Historical Tours, Oil Change Stations
vjLSYNGFkPu4Y5HKoJlzYg,RECON Auto Detailing,Cherry Hill,3.5,48,1,Sushi Bars, Bookkeepers, Hotels, Undersea/Hyperbaric Medicine, Tax Services
iRHVKPJA4378CQ831E3TgA,Maximum Grow Gardening,Exton,2.5,13,1,Rheumatologists, Shoe Shine, Southern, Playgrounds, Hot Pot
QU6xxKwHXR6xQ5oi2yIKLw,Brew Brothers,Bridgeport,5.0,288,0,Pet Training, Electronics Repair, Gastropubs, Undersea/Hyperbaric Medicine, Gardeners
z7sp6u5JnNlq2ziu31EFvw,Barnes & Noble Booksellers,Lansdowne,3.0,572,1,Hair Salons, Soup, Martial Arts, Customized Merchandise, Herbs & Spices
sE6jSnvMts_MAn-b4OkMAw,Nifty Car Rental,East St Louis,2.0,151,1,Telecommunications, Water Stores, Surgeons, Cooking Classes, Farming Equipment
9qxMhGWjGsuPUoQB3Y74Wg,Trust Me BBQ,Columbia,2.5,2404,0,Shaved Snow, Home Staging, Business Financing, Cooking Classes, Teeth Whitening
vo12FJ4dAdP8Jr4ctFYRkg,Kroger,Almonesson,4.5,312,1,Allergists, Printing Services, Hair Removal, Gas Stations, Musicians
0l_njS4wGMadAk1b4nZRUA,Wyoming Barber Shop,Marana,4.0,1121,0,Gay Bars, Carpet Installation, Petting Zoos, Distilleries, Tobacco Shops
9C2rpb56aQvW0ViZHK9sPw,Philadelphia Room Escape,Berwyn,3.5,585,1,Personal Chefs, Trainers, Szechuan, Diagnostic Imaging, Sporting Goods
OlD8UoHqrKnLoZUFxuas_w,Burger Up - Franklin,Whitestown,5.0,353,1,Somali, Accountants, Pet Breeders, Health Retreats, Accountants
DQ7PyYlp2bX96WZa7TcaWQ,Metro Diner,Belmont Hills,5.0,103,1,Pet Groomers, Do-It-Yourself Food, Sports Bars, Data Recovery, Pediatric Dentists
RZpEMG2ILk4bL3lH3ygRcw,Hyatt Place Philadelphia/King of Prussia,Pennsville,2.0,267,1,Shutters, Gymnastics, Life Insurance, Spray Tanning, Piano Bars
bBDDEgkFA1Otx9Lfe7BZUQ,Willard Park,Town & Country,2.5,655,0,Water Purification Services, Home Cleaning, Adult Entertainment, Cycling Classes, Private Schools
xbRbvXSAVZBEwaUUn3mzbg,Wissahickon Cyclery,Primos-Secane,2.0,189,1,Periodontists, Boxing, Commercial Truck Dealers, Real Estate Law, Outdoor Gear
2oxrOO3c9_mQmqM9kwEm9Q,Cosi,Carpinteria,3.5,14,0,Vocational & Technical School, Supernatural Readings, Mexican, Paint-Your-Own Pottery, Food Delivery Services
1EokZOnCDkjv2VtPtplyHw,Pasquales,Kirkwood,3.5,550,0,Wedding Planning, Jazz & Blues, Patisserie/Cake Shop, Sushi Bars, Comedy Clubs
TO5-F6Rgt-_sYvRT9Cta-w,Pho Friendly,Valley Forge,4.0,373,0,Toy Stores, Tiling, Pakistani, Izakaya, Audiologist
QqNTFJdyPWpWAoO5ecw93w,Cedar Park Cafe,Haddon Heights,1.5,315,1,Basque, Nursing Schools, Pressure Washers, Sporting Goods, Party Supplies
3swM60bulnut1d4AZti80Q,Seven Qi Spa,Lester,3.0,205,1,Business Law, Baseball Fields, Cannabis Clinics, Smog Check Stations, Bookstores
YQxZzSbGJl_4Ul2EGXYAqQ,Johnny Rockets,Penndel,2.0,578,1,Pilates, Print Media, Pet Services, Airlines, Hair Stylists
Tm3QiAVLJAR2fEJK7APPPQ,Premier Mortgage Resources,Truckee,3.5,410,0,Campgrounds, Roadside Assistance, Drywall Installation & Repair, Session Photography, Osteopathic Physicians
wwHswDU1t8T-8DAuKI3WdQ,Wyoming Barber Shop,Erial,2.5,95,0,Meat Shops, Radio Stations, Home Automation, Champagne Bars, Car Wash
Uc97dMY2Ml9JG6uLjPQz2A,Collision XS,Newtown,4.5,548,1,Utilities, Lakes, Public Relations, Local Flavor, Ramen
9RoAU2wAlH63Non9qrx3xQ,Largo Police Department,Berkeley,3.5,255,1,Nutritionists, EV Charging Stations, DJs, Window Washing, Handyman
cDekcTE1qwpz8ROlYixhqg,Yi Fa Hair Salon,Glenside,1.5,152,1,Child Care & Day Care, Sleep Specialists, Taxis, Masonry/Concrete, Active Life
jsQQu9rVerR3OGxIa0hRQQ,Phidelity Records,Franklin,5.0,807,1,Oncologist, Fishing, Hotels & Travel, Property Management, Real Estate Agents
J_ksUDPpzPwfTGtI4zTRnQ,Mirror Lake Community Library,Newtown Square,4.0,514,1,Town Car Service, Asian Fusion, RV Dealers, Beaches, Car Wash
PCM-vL-vRLJ4HB2OE8Nnbg,Union Teller Delicatessen,Lemay,1.0,1279,1,Pets, Food Court, Dumpster Rental, Hair Salons, IT Services & Computer Repair
zn-WXkqHag5FSVc_LC9dEQ,Reid Park Mico's Corner Playground,Cahokia,2.5,804,1,Departments of Motor Vehicles, Psychiatrists, Soup, Home Inspectors, Pet Boarding
QU6xxKwHXR6xQ5oi2yIKLw,DanceLine,Land O'Lakes,4.5,284,0,Water Parks, Chicken Shop, Dental Hygienists, Men's Clothing, Spine Surgeons
9W9pFoPdrwZAg1xxHhzp6Q,Jiffy Lube,Boise,4.0,569,0,Hiking, Puerto Rican, Pasta Shops, Food Trucks, Car Rental
frsWe9bmMOMIBOBNzsCTew,Element Granite & Quartz,Lawrenceville,1.0,460,0,Car Wash, Vintage & Consignment, Powder Coating, Taxis, Comic Books
zaaX5EzJDNxhzIFywyxYKg,Snellgroves Restaurant,Tabernacle,1.0,1145,1,Session Photography, Ramen, Airport Terminals, Sandwiches, Snow Removal
25Uww0C0wvF9CZ_3B6vWtA,B&L Nails Spa,Woodlyn,4.5,460,1,Health Insurance Offices, Kebab, Professional Services, Mortgage Brokers, Art Galleries
jsQQu9rVerR3OGxIa0hRQQ,Foolish Pride Tattoo Company,Milmont Park,1.0,79,0,Hobby Shops, Donairs, Breweries, Pet Hospice, Registration Services
CT4QA-J58P-e8KRKeWPrAw,"C R Bhatia, DVM - Animal Clinic of Warrington",Greenwood,4.0,634,1,Hot Tub & Pool, Fabric Stores, Tuscan, Cheesesteaks, Cheese Shops
tMkwHmWFUEXrC9ZduonpTg,Publix Super Market,Smyrna,3.0,971,0,Bakeries, Orthodontists, Endodontists, Commercial Truck Dealers, Sleep Specialists
YR0nwxBOKk6DiLHNItfsBQ,Olivier's Creole Restaurant,Croydon,2.0,95,0,Car Wash, Head Shops, Roadside Assistance, Body Contouring, Audiologist
xloFoRiYlH4IKGz3FhTDpA,The Mona Lisa Lounge,Feasterville Trevose,2.0,265,0,Gastroenterologist, Playgrounds, Commercial Truck Repair, Urologists, Candle Stores
VCkSUsdL5P0p16DAPxVROA,Ristenpart Law,Claymont,3.0,130,0,Bookstores, Antiques, Officiants, Fertility, Nutritionists
ngvE1G9IckUO-ljZBFo23w,Dwight's Auto Glass & Tint,Fairless,2.5,95,1,Shared Office Spaces, Midwives, Food, Dance Studios, Photography Stores & Services
G2Byuh4EVeSnqqWBWtD7rg,Tienda Ho,Treasure Is,2.5,96,0,Specialty Food, Leisure Centers, Home Developers, Roofing, Poke
vSE6lkp5FBcttPxEbQ9XCw,Dio Modern Mediteranean,Jenkintown,2.5,472,0,Japanese Curry, Car Brokers, Obstetricians & Gynecologists, Teppanyaki, Gutter Services
tVdJ7CgBGAQ_nLomYXbB-Q,Silver and Blue Outfitters,Temple Terrace,4.5,1725,1,Home Cleaning, Pick Your Own Farms, Sandwiches, Restaurant Supplies, Occupational Therapy
wwHswDU1t8T-8DAuKI3WdQ,Bucks-Mont Environmental,Greenbrier,3.0,193,1,Laser Eye Surgery/Lasik, Salvadoran, Thrift Stores, Weight Loss Centers, Fire Protection Services
bBDDEgkFA1Otx9Lfe7BZUQ,Fred Beans Nissan of Doylestown,East St Louis,5.0,597,1,Creperies, Carpet Installation, Golf Lessons, Gastroenterologist, Herbal Shops
TF4IyHKK05m5rXENCK94nA,Blue Water Dental Care,Elmwood,3.5,58,1,Nail Salons, Orthotics, Roofing, Izakaya, Notaries
9OG5YkX1g2GReZM0AskizA,24,Huntingdon Valley PA,1.0,483,0,Musical Instrument Services, Movers, Business Financing, Oil Change Stations, Thrift Stores
D5DBDShzSVx_gQtdIbOqZg,Olive Garden Italian Restaurant,East Alton,4.5,150,0,Traditional Chinese Medicine, Countertop Installation, Landscaping, Pharmacy, Recording & Rehearsal Studios
ULReFPrCIDRbGKwP3ZsHwg,Saltwater Grill,Marana,4.5,241,0,Solar Installation, Food, Boating, Decks & Railing, Traffic Schools
Unf5cncllS4V_CKQmp2V9Q,Blue Sage Vegetarian Grille,Perkasie,3.0,233,1,Propane, Yoga, Vegan, Street Vendors, Lawyers
pmuuoDqNZp7518AUd-YmPA,Wendy's,Bridgeport,1.5,1121,0,Propane, Divorce & Family Law, Colonics, Guest Houses, Shoe Repair
-7GDqSUaXrpC8Ql7nDBxWA,Midwest RV Center,Santa Barbara ,3.5,464,1,Gutter Services, Opera & Ballet, Cheese Shops, Business Consulting, Parks
Ju5N_-2Jk374uBu4zaxGAA,Abc Resurfacing,Eddystone,3.5,180,1,Farmers Market, Wine Bars, Printing Services, Champagne Bars, Personal Chefs
S_-UJCj3Q-69_q92k59XYA,Reno Bighorns,Fishers,1.5,653,0,Financial Services, Mountain Biking, Garage Door Services, Teppanyaki, Waffles
gYMOrd8xnZF-B61lwGiFUw,Oscar's Cafe,Palmetto,5.0,33,1,Commercial Real Estate, Puerto Rican, Blow Dry/Out Services, Laser Eye Surgery/Lasik, Fire Protection Services
SFKjUQ1gmfwm7cJhMCFmkA,Big Mike's BBQ,Wood River,2.5,555,0,Coffee & Tea, Skilled Nursing, Bed & Breakfast, Orthopedists, Event Photography
q76T2h-U6oHcLhYQuz1Mcg,Cook's Glass & Mirror,Norriton,3.0,290,1,Bikes, Summer Camps, Beaches, Apartments, Fireplace Services
Zj5PX3ZE4V6DB4XqP3HfcQ,Jaramillo Hair salon,Jefferson Parish,1.5,211,0,Cupcakes, Reflexology, Carpeting, Vape Shops, Registration Services
bPPy7yNFfb-6N_bHkn1qAw,New Orleans Jazz Market,Hendersonville,3.5,325,0,Social Clubs, RV Dealers, Home Inspectors, Airlines, Decks & Railing
DxwDYVexldL9HAJAkAoYLA,Mike's Ice Cream,Swedesboro,1.5,44,0,Soul Food, Cosmetic Dentists, Psychiatrists, Carpet Installation, Social Security Law
CT4QA-J58P-e8KRKeWPrAw,Watson Adventures Scavenger Hunts,Vail,2.5,376,1,Mattresses, Acupuncture, Office Equipment, Cooking Classes, Endodontists
Al72SF73U4_WBqY112IhUQ,TKO DJs,Cherry Hill,2.5,282,1,Car Share Services, Race Tracks, Hot Pot, Moroccan, Pilates
0gKLY_mzf7ibYEZ28tWuXA,America's Best Contacts & Eyeglasses,Lansdowne,1.0,787,1,Jails & Prisons, Podiatrists, Decks & Railing, Contractors, Diving
uzpiSVy6DTQBNByAhT0Z2Q,Stitchers' Dream,Laurel Springs,1.5,109,1,Rafting/Kayaking, Event Photography, Hydroponics, Heating & Air Conditioning/HVAC, Pain Management
6cPVGUOVlHa6TwlgU08IXQ,ACME Screening Room,Mt Juliet,3.0,36,1,Tanning Beds, Medical Centers, Medical Law, Pain Management, Electricians
1ddqdY_piKp-abaZ-bGRSA,Tabasco Country Store,Fishers,2.0,120,1,Counseling & Mental Health, Basketball Courts, Data Recovery, Props, Auto Loan Providers
18eWJFJbXyR9j_5xfcRLYA,Affordable Lock & Security Solutions - Tampa,Wimauma,2.5,885,1,Head Shops, Towing, Home Automation, Cafes, Pet Stores
dBCNUSbz5-8nQNrxWo5deg,Paris Parker Salon & Spa,East Alton,1.5,1395,1,Dive Bars, Taxis, Churches, Formal Wear, Salad
5SV2YI6MBSOWaEwB8pBHtQ,Carnivore,Pagedale,4.0,188,0,Bounce House Rentals, German, Wine & Spirits, Art Space Rentals, Golf Equipment
uKFYm0R8Fuf3H2vihxEobA,Golden Spirit Alpaca Ranch,St. Louis,3.5,124,1,Lounges, Street Vendors, Poke, Video/Film Production, Bowling
VK5NEKDHnZG8YcAw2JpaWw,Ulta Beauty,Verdi,5.0,321,1,Pediatricians, Sports Wear, Pakistani, Wine Tasting Room, Packing Services
zQ3tnBABoypncWu5oW2bKA,Soco's Gyros,Wood River,3.5,475,0,Tapas/Small Plates, Dermatologists, Roof Inspectors, Shipping Centers, Garage Door Services
-4dYswJy7SPcbcERvitmIg,B&L Nails Spa,Collingswood,4.0,23,1,Acai Bowls, Tea Rooms, Sunglasses, Cosmetics & Beauty Supply, Waffles
YE2TePip0TxcdquF5hGauQ,Summer Palace Chinese Restaurant,Ruskin,4.5,961,0,Indonesian, Cocktail Bars, Dog Parks, Engraving, Psychologists
NBgbL_KQTRRLQPQQtmUkYQ,Union on Fletcher,St Charles,4.0,450,0,Masonry/Concrete, Security Services, Ophthalmologists, Dominican, Graphic Design
1gVkgLjul7xSIsJRCZHhmg,Freddy's Frozen Custard & Steakburgers,Rosemont,3.0,120,0,Cultural Center, Generator Installation/Repair, Screen Printing/T-Shirt Printing, Pool Cleaners, Kickboxing
yUcMPv-B9gCUUNT-GUiJbw,Breadland Organic Whole Grain Bakery,Pitman,1.5,393,0,Active Life, Carpeting, Boudoir Photography, Vegetarian, Guns & Ammo
du_yelFmWOZDEyIAE-jdsQ,Lott's Service,Exton,4.5,284,0,Shoe Stores, Middle Eastern, Check Cashing/Pay-day Loans, Bars, Homeowner Association
l7gFSHojInQCglAVbv2_FQ,Budweiser Brewery Experience,Mansfield,1.5,389,1,Kickboxing, Fashion, Business Law, Axe Throwing, Hospitals
NTf_U8kYu9PAE2cZGJqtJg,Taco Del Mar,Kulpsville,4.0,1289,0,Active Life, Radio Stations, Arcades, French, Office Cleaning
W5tIz4sl1yRW_fOXHoGVzQ,Storage of America,Vail,1.5,360,0,Diagnostic Imaging, RV Rental, Cabinetry, Greek, Used Car Dealers
v2UmYZ1rPT48IroaD0xZAQ,Robbi's Custom Leather Goods,Newfield,1.5,267,0,Optometrists, Breakfast & Brunch, Hot Dogs, Chimney Sweeps, Recycling Center
4nWrhQu2z7SbcPmGP8TcAA,The Cleaning Authority - Tucson,New castle,2.0,398,1,Baby Gear & Furniture, Outlet Stores, Speakeasies, Dumpster Rental, Poke
K0nNsUGPoE7ezIXiBwxrFQ,Manor Riverwalk Luxury Apartments by TRG Management Company,Speedway,2.5,372,1,Vegetarian, Demolition Services, Gunsmith, Calabrian, Shoe Stores
KxSCZOc7jX_x1hrMz4DPTw,Yerli's Alterations & Tailoring,Gibsonton,3.0,209,1,Food Delivery Services, Party Equipment Rentals, Electricians, Propane, TV Mounting
4iRzR7OaS-QaSXuvYxEGKA,L'Occitane en Provence,Sanatoga,3.5,279,0,Hot Dogs, Makeup Artists, Air Duct Cleaning, Boudoir Photography, Public Transportation
-AjSXsdPtBhWl0kY1-QsoA,Pho Friendly,Noblesville,1.0,1368,0,Basque, Pakistani, Surf Schools, Races & Competitions, Osteopathic Physicians
